quad,TRT,plantID,noFlrs,noBuds,noPastFlrs,noTraps,stalkHt,dateFlrOpening,dateBagged,dateMarked,dateBagRemoved,dateCollection,noBlkSeeds,bulkWtBlkSeeds,mnWtBlkSeedsFruit
19,UP,19-UP,2,10,1,6,33.8,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
20,A,20-A,3,3,7,7,27.6,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
20,G,20-G,4,4,2,11,32.3,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,21,6.966,0.331714286
20,OC,20-OC,3,9,4,9,31.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,26,7.051,0.271192308
20,UP,20-UP,2,7,4,3,26.8,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
21,A,21-A,3,10,0,7,28.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,24,6.059,0.252458333
21,G,21-G,3,4,5,3,32.5,5/30/2020,5/30/2020,5/31/2020,6/3/2020,6/19/2020,30,8.845,0.294833333
21,OC,21-OC,1,6,2,7,29.5,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,19,6.755,0.355526316
21,UP,21-UP,2,9,1,11,31,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
22,A,22-A,2,6,1,4,32.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,14,4.745,0.338928571
22,G,22-G,3,6,1,5,29,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,22,5.179,0.235409091
22,OC,22-OC,3,9,1,6,22.1,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,38,12.367,0.325447368
22,UP,22-UP,3,7,1,4,28.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
23,A,23-A,2,3,3,6,30.5,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,1,0.389,0.389
23,G,23-G,3,5,2,3,32.5,5/30/2020,5/30/2020,5/31/2020,6/3/2020,6/19/2020,15,3.136,0.209066667
23,OC,23-OC,2,5,3,7,30.4,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,13,3.901,0.300076923
23,UP,23-UP,2,4,2,4,26.3,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
24,A,24-A,2,3,2,7,28.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,16,3.886,0.242875
24,G,24-G,2,2,4,7,30.3,5/31/2020,5/31/2020,6/1/2020,6/3/2020,6/21/2020,0,NA,NA
24,OC,24-OC,2,3,2,3,28.1,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,14,3.845,0.274642857
24,UP,24-UP,2,2,4,5,29.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
25,A,25-A,2,3,5,4,34.4,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,3,1.049,0.349666667
25,G,25-G,3,4,4,6,29.9,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,25,9.013,0.36052
25,OC,25-OC,3,4,4,6,30.9,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,22,5.746,0.261181818
25,UP,25-UP,3,6,2,6,35.1,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
26,A,26-A,2,13,0,8,30,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,10,3.359,0.3359
26,G,26-G,2,9,1,7,33.6,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
26,OC,26-OC,1,4,1,5,29.9,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,19,6.946,0.365578947
26,UP,26-UP,2,9,0,6,35.2,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
27,A,27-A,3,3,3,4,31.5,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,12,3.381,0.28175
27,G,27-G,2,7,1,4,27.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,17,5.027,0.295705882
27,OC,27-OC,3,5,4,5,31,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,18,5.17,0.287222222
27,UP,27-UP,2,6,2,5,32.1,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
28,A,28-A,2,6,1,3,28.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,13,4.012,0.308615385
28,G,28-G,2,3,4,4,26.7,5/30/2020,5/30/2020,5/31/2020,6/3/2020,6/19/2020,18,3.743,0.207944444
28,OC,28-OC,2,7,1,6,32.4,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,21,7.065,0.336428571
28,UP,28-UP,2,6,2,11,30.5,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
29,A,29-A,3,2,8,4,35.5,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,21,5.12,0.243809524
29,G,29-G,2,2,5,6,34,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,8,2.729,0.341125
29,OC,29-OC,3,6,2,4,30.9,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
29,UP,29-UP,3,5,2,5,37,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
30,A,30-A,2,6,3,8,33.7,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,2,0.861,0.4305
30,G,30-G,3,13,2,4,35.5,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,21,6.919,0.32947619
30,OC,30-OC,3,4,2,3,30.4,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,9,3.216,0.357333333
30,UP,30-UP,3,4,8,4,32.5,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,0,NA,NA
